Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
Kabre-Akulyou,Kabre-Akulyou,Rural,Batch 1,Bongo,172,58,Disbursement
Boya/Adonsi/Adagbira,Boya/Adonsi/Adagbira,Rural,Batch 1,Bawku West,78,56,Disbursement
Zamsa,Zamsa,Rural,Batch 1,Builsa South,66,57,Disbursement
Zanlerigu-Zoabulug,Zanlerigu-Zoabulug,Rural,Batch 1,Nabdam,59,51,Disbursement
Gbeogo,Gbeogo,Rural,Batch 1,Talensi,147,107,Disbursement
Kolnatinga,Kolnatinga,Rural,Batch 1,Tempane,54,46,Disbursement
Chuchuliga/Awenaguuk,Chuchuliga/Awenaguuk,Rural,Batch 1,Builsa North,73,69,Disbursement
Kanjarga-Zogsa,Kanjarga-Zogsa,Rural,Batch 2,Builsa South,32,32,Disbursement
Bulinga,Bulinga,Rural,Batch 3,Bawku West,32,31,Disbursement
Mantana,Lawook,Rural,Batch 2,Yunyoo-Nasuan District,97,97,Disbursement
Katigri,Katigri,Rural,Batch 3,Mamprugu Moagduri,156,135,Disbursement
Gbani,Gbani ,Rural,Batch 2,Talensi,78,78,Disbursement
Yagzore,Yagzore ,Rural,Batch 3,Talensi,72,72,Disbursement
Namori,Namori,Rural,Batch 3,Garu,32,32,Disbursement
Pusigon,Pusigon,Rural,Batch 3,Tempane,75,71,Mentoring
Kuuba,Kuuba,Rural,Batch 2,Mamprugu Moagduri,15,15,Disbursement
Sanjack-Kumpack-Tamping,Sanjack-Kumpack-Tamping,Rural,Batch 3,Bunkpurugu-Nakpanduri,46,38,Enrolment
Konchiangberuk,Konchiangberuk,Rural,Batch 2,Bunkpurugu-Nakpanduri,31,24,Disbursement
Mozio  Jinwol,Mozio  Jinwol,Rural,Batch 2,Yunyoo-Nasuan District,93,93,Disbursement
Kuffuk,Kuffuk,Rural,Batch 2,Yunyoo-Nasuan District,37,37,Disbursement
Boarankuon,Boarankuon,Rural,Batch 2,Tempane,60,60,Disbursement
