uuid,deviceId,className,androidId,serial,osVersion,osName,device,model,user,host,lastConnected,location,deviceAccess,createUserId,createDate,updateUserId,lastUpdated
002A76A2-FC6D-4D17-81A4-CD46DE4E21A0,RP1A.200720.011,BINDURI DA PWD cluster A,933d67572a198dc4,933d67572a198dc4,4.19.127,Linux,FP08,FP08,,hby,2025-04-10 18:51:22.517,"11.031694999999997,-0.35782166666666665",2,0,2025-03-21 11:32:00,15,2025-03-21 15:39:00
003065A3-8315-4A12-BFB6-F1D201A48269,EKEMP.M8.2020,Kikila Zambo,f852758786ac0856,M820202206456,3.18.79,Linux,m8,M8,,android157,2024-02-22 17:12:43.460,"10.059785,-2.49662",2,0,2022-08-17 12:48:00,11,2023-11-27 16:02:00
004F58C3-08CC-404F-89E7-C1D3573C556E,EKEMP.M8.2020,Jato-Borfu (Bosu),73f3dc17e55efeba,M820202206423,3.18.79,Linux,m8,M8,,android157,2022-11-14 16:29:10.000,"10.114823333333334,0.25509333333333334",2,0,2022-10-20 15:11:00,15,2022-11-14 16:32:00
00611FE6-4F68-41D1-8DCF-8CCDBB70C36F,RP1A.200720.011,Abenase,bbd5ae38b27d3028,bbd5ae38b27d3028,4.19.127,Linux,FP08,FP08,,hby,2025-05-14 11:41:59.000,"6.15881,-1.140745",2,0,2024-09-17 12:50:00,315,2025-05-14 11:58:00
00E5C520-F01D-44EF-8D11-B7777F13B77E,RP1A.200720.011,SORI NO. 2 CLUSTER,e0c7feb21f6f7bd2,e0c7feb21f6f7bd2,4.19.127,Linux,FP08,FP08,,hby,2025-09-07 18:18:37.720,"9.084626666666667,-1.8252883333333334",2,0,2024-10-04 15:05:00,642,2024-12-02 16:43:00
01393473-8892-4E53-8550-2401241780F3,RP1A.200720.011,Adedome,b4762b589b3de3d8,b4762b589b3de3d8,4.19.127,Linux,M8,M8,,ekemp158,2024-11-08 15:44:36.237,"6.551241666666666,0.6713416666666667",2,0,2024-09-27 15:22:00,317,2024-10-16 14:41:00
01B46C70-D710-4CD4-A4CF-A8F6D127EBCE,RP1A.200720.011,Besibema/Nsawora/Sikaneasem/Nkwadum/Asanteman/Kofi,79c8211548639a04,79c8211548639a04,4.19.127,Linux,FP08,FP08,,hby,2025-04-25 18:46:25.260,"6.066963333333333,-2.645051666666667",2,0,2024-10-04 05:13:00,22,2024-10-22 08:37:00
027991F5-B365-47C1-9FE3-287E9831B870,RP1A.200720.011,Abease,28a002e1ce6b5029,28a002e1ce6b5029,4.19.127,Linux,M8,M8,,ekemp158,2025-02-11 16:33:46.380,,2,0,2024-11-19 13:14:00,22,2024-11-19 13:15:00
03BB56A3-F16C-47C8-A77A-59CF1BB37966,RP1A.200720.011,YAHAYAYILI,415a278e02485d4c,unknown,4.19.127,Linux,M8,M8,,ekemp158,2023-09-18 16:34:30.183,"9.38949,-0.809935",2,0,2023-06-21 10:24:00,13,2023-06-21 11:24:00
03BC0E8A-225F-4777-BF7C-A62D2A9DB4C2,RP1A.200720.011,Maane/Yibe,284044c77d0b7215,284044c77d0b7215,4.19.127,Linux,M8,M8,,ekemp158,2025-03-16 06:05:48.943,"9.940268333333334,-0.43906333333333336",2,0,2025-03-02 12:41:00,576,2025-03-14 05:57:00
