subProject,Sub Project Code,Community Type,Type,District,Contractor,Status,% Completion,Beneficiaries
 MAINTENANCE OF 4.2HA CASHEW PLANTATION AT NANSONI ,20797,Rural,Climate Change,CHEREPONI,,Closed,100,17
 MAINTENANCE OF 17 HA CASHEW PLANTATION AT WUNDUA ,20798,Rural,Climate Change,EAST MAMPRUSI,,Completed,100,43
 Rehabilitation of Samboliga-Agatuse feeder road (5.20 km),20912,Rural,Feeder Road,BAWKU WEST,Legico Enterprise Ltd,OnGoing,52.25,156
Rehabilitation of Aniisi - Belimpiisi Feeder Road (3.5km),20915,Rural,Feeder Road,BINDURI,Messrs Marnagan Co. Ltd.,Closed,93.5,161
Rehabilitation of Pwalugu-Manpelugu Feeder Road (3.5km),20929,Rural,Feeder Road,TALENSI,AMEG COMPANY LTD,OnGoing,46.95,85
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nafkolga community",21147,Rural,Climate Change,BINDURI,,OnGoing,61,62
"Rehabilitation of 6.5 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Ayelbia community",21148,Rural,Climate Change,BONGO,,Completed,100,43
Rehabilitation of Kpemale-Bamdimsugru Feeder Road(5.2km),21197,Rural,Feeder Road,BUNKPURUGU,Amobet Engineering & Construction Ltd,Completed,100,162
Rehabilitation of Small Earth Dam at Kuka-Natinga,21265,Rural,Dam,BAWKU ,Synagogue Construction Limited,OnGoing,50.4,183
Rehabilitation of Small Earth Dam at Nayoko,21266,Rural,Dam,BINDURI,SUMMIT  DOU COMPANY LIMITED,OnGoing,77.77777778,364
Rehabilitation of Small Earth Dam at Akara,21280,Rural,Dam,TEMPANE,Akologo Enterprise Ltd,OnGoing,66.2,426
Rehabilitation of Small Earth Dam at Uwasi,21530,Rural,Dam,BUILSA SOUTH,NDANAYINA ENTERPRISE,OnGoing,46.7,137
Rehabilitation of Small Earth Dam at  Damolgo-Baamogre,21533,Rural,Dam,NABDAM,Ko-omgongo Enterprise ,OnGoing,58.7,151
Construction of Small Earth Dam at Miranateng,21534,Rural,Dam,PUSIGA,Suwa Muda Enterprise,OnGoing,47,200
 MAINTENANCE OF 16.2HA CASHEW PLANTATION AT BULBIA ,20804,Rural,Climate Change,WEST MAMPRUSI,,Completed,100,41
 MAINTENANCE OF 2.3HA CASHEW PLANTATION AT ARUGBAL ,20806,Rural,Climate Change,TEMPANE,,Completed,100,10
Rehabilitation of Naturi Junc- Naturi Feeder Road (3.4km),20921,Rural,Feeder Road,CHEREPONI,Chassay Premium Limited,Completed,94.25,124
Rehabilitation of Songo-Songure Feeder Road (5.0km,20923,Rural,Feeder Road,GARU,Fuwab Company Limited,OnGoing,60,195
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KUBORI",21155,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,98.4,66
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nyogbari community",21157,Rural,Climate Change,NABDAM,,Completed,100,66
Rehabilitation of Small Earth Dam at Namasim,21255,Rural,Dam,EAST MAMPRUSI,Fm-Zanjina Enterprise Limited,OnGoing,21.2,181
Rehabilitation of Dugout Yirangu,21257,Rural,Dam,MAMPRUGU-MOAGDURI,Abrakman Enterprise ,OnGoing,71.55,191
Rehabilitation of Small Earth Dam at Doninga Delogsa,21272,Rural,Dam,BUILSA SOUTH,Maligu Investment Limited ,Terminated,2,83
Rehabilitation of Small Earth Dam at Dusbuliga,21274,Rural,Dam,GARU,Akologo Enterprise Ltd,OnGoing,73,249
Rehabilitation of 10 degraded land using Cashew fruit trees including nursery at Nyandema,21289,Rural,Climate Change,BUILSA SOUTH,,Completed,100,66
Development of Gambaga College of Education Park,21291,Urban,Flood Mitigation Measures,EAST MAMPRUSI,THE SELECTOR COMPANY LTD.,OnGoing,61.65,73
Rehabilitation of Nansoni - Akromabila    Feeder Road (5.00 Km),21455,Rural,Feeder Road,CHEREPONI,YACKSON GHANA LIMITED,OnGoing,52.25,228
Rehabilitation of Mimima - Boayini       Feeder Road (5.30 Km),21457,Rural,Feeder Road,WEST MAMPRUSI,Messrs Hypermomnt Construction Limited,OnGoing,35.2,215
Construction of Small Earth Dam at Zangum,21523,Rural,Dam,WEST MAMPRUSI,Taweri Limited,OnGoing,51.75,249
Construction of Small Earth Dam at Apodabogo ,21525,Rural,Dam,BAWKU WEST,Kpannyaraga GH Ltd,OnGoing,38.25,162
Rehabilitation of Kaadi  - Kulunvai   Feeder  Road (5.40 Km),21542,Rural,Feeder Road,BINDURI,AL-AMAF ENTERPRISE LIMITED,OnGoing,51.75,223
 MAINTENANCE OF 6.0HA CASHEW PLANTATION AT KPENTAUNG ,20794,Rural,Climate Change,BUNKPURUGU,,Completed,100,20
 MAINTENANCE OF 11.3 HA CASHEW PLANTATION AT LOAGRI ,20801,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,100,31
 MAINTENANCE OF 10HA CASHEW PLANTATION AT CHUCHULIGA AWENAGUUK ,20808,Rural,Climate Change,BUILSA NORTH,,Closed,40.6,34
