Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status,ClassName_clean,uuid,deviceId,className,androidId,serial,osVersion,osName,device,model,user,host,lastConnected,location,deviceAccess,createUserId,createDate,updateUserId,lastUpdated,_merge
Kabre-Akulyou,Kabre-Akulyou,Rural,Batch 1,Bongo,172,58,Disbursement,kabreakulyou,,,,,,,,,,,,,,,,,,,left_only
Boya/Adonsi/Adagbira,Boya/Adonsi/Adagbira,Rural,Batch 1,Bawku West,78,56,Disbursement,boyaadonsiadagbira,,,,,,,,,,,,,,,,,,,left_only
Zamsa,Zamsa,Rural,Batch 1,Builsa South,66,57,Disbursement,zamsa,,,,,,,,,,,,,,,,,,,left_only
Zanlerigu-Zoabulug,Zanlerigu-Zoabulug,Rural,Batch 1,Nabdam,59,51,Disbursement,zanleriguzoabulug,,,,,,,,,,,,,,,,,,,left_only
Gbeogo,Gbeogo,Rural,Batch 1,Talensi,147,107,Disbursement,gbeogo,,,,,,,,,,,,,,,,,,,left_only
Kolnatinga,Kolnatinga,Rural,Batch 1,Tempane,54,46,Disbursement,kolnatinga,,,,,,,,,,,,,,,,,,,left_only
Chuchuliga/Awenaguuk,Chuchuliga/Awenaguuk,Rural,Batch 1,Builsa North,73,69,Disbursement,chuchuligaawenaguuk,,,,,,,,,,,,,,,,,,,left_only
Kanjarga-Zogsa,Kanjarga-Zogsa,Rural,Batch 2,Builsa South,32,32,Disbursement,kanjargazogsa,,,,,,,,,,,,,,,,,,,left_only
Bulinga,Bulinga,Rural,Batch 3,Bawku West,32,31,Disbursement,bulinga,,,,,,,,,,,,,,,,,,,left_only
Mantana,Lawook,Rural,Batch 2,Yunyoo-Nasuan District,97,97,Disbursement,mantana,45FD64C4-EDF8-4C0E-ADD7-FE53942AB34E,EKEMP.M8.2020,Mantana,3153e96c45d8a220,M820202206243,3.18.79,Linux,m8,M8,,android157,2022-11-23 15:57:16.000,"10.482665,-0.019536666666666664",2.0,0.0,2022-09-05 09:50:00,15.0,2022-11-23 16:05:00,both
Katigri,Katigri,Rural,Batch 3,Mamprugu Moagduri,156,135,Disbursement,katigri,B15E7731-DEC1-48AA-8A38-4637D92A3EB1,RP1A.200720.011,Katigri,a9eb61d24eb9ab6a,a9eb61d24eb9ab6a,4.19.127,Linux,M8,M8,,ekemp158,2025-04-08 11:59:40.483,,2.0,0.0,2024-12-16 11:34:00,540.0,2024-12-16 11:50:00,both
Gbani,Gbani ,Rural,Batch 2,Talensi,78,78,Disbursement,gbani,,,,,,,,,,,,,,,,,,,left_only
Yagzore,Yagzore ,Rural,Batch 3,Talensi,72,72,Disbursement,yagzore,BA9D59D6-5E43-4161-B287-80F7B6CCF609,RP1A.200720.011,Yagzore,9334d412115091c6,9334d412115091c6,4.19.127,Linux,M8,M8,,ekemp158,2024-02-16 14:59:04.337,"10.755115,-0.77105",2.0,0.0,2023-09-30 08:48:00,15.0,2023-12-08 11:57:00,both
Namori,Namori,Rural,Batch 3,Garu,32,32,Disbursement,namori,8FC9D659-BDA8-4B50-8E8F-277BB6929420,EKEMP.M8.2020,Namori,1205b7f36a2674b4,M820202206146,3.18.79,Linux,m8,M8,,android157,2025-03-11 11:38:54.777,,2.0,0.0,2025-02-13 14:19:00,540.0,2025-02-13 14:22:00,both
Pusigon,Pusigon,Rural,Batch 3,Tempane,75,71,Mentoring,pusigon,,,,,,,,,,,,,,,,,,,left_only
Kuuba,Kuuba,Rural,Batch 2,Mamprugu Moagduri,15,15,Disbursement,kuuba,670D18AE-225C-4D37-96DC-A655D2F81413,RP1A.200720.011,Kuuba,a532368aa0e7353c,a532368aa0e7353c,4.19.127,Linux,FP08,FP08,,hby,2025-06-19 13:44:33.037,,2.0,0.0,2025-06-19 10:42:00,15.0,2025-06-19 10:43:00,both
Sanjack-Kumpack-Tamping,Sanjack-Kumpack-Tamping,Rural,Batch 3,Bunkpurugu-Nakpanduri,46,38,Enrolment,sanjackkumpacktamping,,,,,,,,,,,,,,,,,,,left_only
