subProject,Sub Project Code,Community Type,Type,District,Contractor,Status,% Completion,Beneficiaries,subProject_clean,uuid,deviceId,subProject_LIPW,androidId,serial,osVersion,osName,device,model,user,host,lastConnected,location,deviceAccess,createUserId,createDate,updateUserId,lastUpdated,_merge
 MAINTENANCE OF 4.2HA CASHEW PLANTATION AT NANSONI ,20797,Rural,Climate Change,CHEREPONI,,Closed,100.0,17,maintenance of 42ha cashew plantation at nansoni,57366E63-8F25-47B1-B979-F52E0F9816FB,EKEMP.M8.2020, MAINTENANCE OF 4.2HA CASHEW PLANTATION AT NANSONI ,6057d58843731e65,M820202206447,3.18.79,Linux,m8,M8,,android157,2024-10-07 21:30:56.853,"10.195698333333333,0.20650333333333334",2.0,0.0,2024-06-04 16:29:00,20.0,2024-07-06 20:07:00,both
 MAINTENANCE OF 17 HA CASHEW PLANTATION AT WUNDUA ,20798,Rural,Climate Change,EAST MAMPRUSI,,Completed,100.0,43,maintenance of 17 ha cashew plantation at wundua,F9C21737-DF9D-4673-8C6C-2F94C33366DE,EKEMP.M8.2020, MAINTENANCE OF 17 HA CASHEW PLANTATION AT WUNDUA ,6758351265200551,M820202206196,3.18.79,Linux,m8,M8,,android157,2024-10-09 22:21:35.160,"10.329896666666667,-0.5322933333333333",2.0,0.0,2024-04-23 11:33:00,20.0,2024-06-01 07:29:00,both
 Rehabilitation of Samboliga-Agatuse feeder road (5.20 km),20912,Rural,Feeder Road,BAWKU WEST,Legico Enterprise Ltd,OnGoing,52.25,156,rehabilitation of samboligaagatuse feeder road 520 km,6B5AE0D8-87CC-4DFE-ADFF-C6410680E738,RP1A.200720.011, Rehabilitation of Samboliga-Agatuse feeder road (5.20 km),bdb8d8c5fe7b9f8f,bdb8d8c5fe7b9f8f,4.19.127,Linux,FP08,FP08,,hby,2025-02-20 10:46:55.520,"10.787021666666666,-0.855615",2.0,0.0,2025-02-20 10:45:00,1138.0,2025-02-20 10:46:00,both
Rehabilitation of Aniisi - Belimpiisi Feeder Road (3.5km),20915,Rural,Feeder Road,BINDURI,Messrs Marnagan Co. Ltd.,Closed,93.5,161,rehabilitation of aniisi  belimpiisi feeder road 35km,E6A7F6C7-6CD4-4CBF-A2BF-E87667344872,RP1A.200720.011,Rehabilitation of Aniisi - Belimpiisi Feeder Road (3.5km),4c035dd19ece5c67,4c035dd19ece5c67,4.19.127,Linux,FP08,FP08,,hby,2024-08-27 16:10:58.407,"10.948856666666666,-0.2632333333333333",2.0,0.0,2024-08-12 22:46:00,1138.0,2024-08-26 15:16:00,both
Rehabilitation of Pwalugu-Manpelugu Feeder Road (3.5km),20929,Rural,Feeder Road,TALENSI,AMEG COMPANY LTD,OnGoing,46.95,85,rehabilitation of pwalugumanpelugu feeder road 35km,D72B60ED-7093-44D2-ACEE-4F6483BEBA5B,RP1A.200720.011,Rehabilitation of Pwalugu-Manpelugu Feeder Road (3.5km),85d170161461da88,85d170161461da88,4.19.127,Linux,M8,M8,,ekemp158,2025-03-18 14:27:15.813,"10.798071666666665,-0.86229",2.0,0.0,2025-02-04 15:28:00,1138.0,2025-02-04 15:30:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nafkolga community",21147,Rural,Climate Change,BINDURI,,OnGoing,61.0,62,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at nafkolga community,2551398E-28C2-4C86-9C7B-2A55221C2E19,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nafkolga community",8f552e3d180f182e,8f552e3d180f182e,4.19.127,Linux,FP08,FP08,,hby,2025-09-02 18:52:35.030,"10.891293333333332,-0.3654866666666667",2.0,0.0,2025-01-09 09:55:00,1138.0,2025-02-06 08:46:00,both
"Rehabilitation of 6.5 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Ayelbia community",21148,Rural,Climate Change,BONGO,,Completed,100.0,43,rehabilitation of 65 ha degraded communal land using cashew trees including 25000 seedling nursery at ayelbia community,B3F14A78-0310-4EA0-AB35-25672C0C12F8,RP1A.200720.011,"Rehabilitation of 6.5 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Ayelbia community",e08f9f5f07215c7d,e08f9f5f07215c7d,4.19.127,Linux,M8,M8,,ekemp158,2025-09-18 19:52:00.040,"10.809049999999997,-0.87397",2.0,0.0,2025-03-20 09:49:00,1138.0,2025-03-20 09:50:00,both
Rehabilitation of Kpemale-Bamdimsugru Feeder Road(5.2km),21197,Rural,Feeder Road,BUNKPURUGU,Amobet Engineering & Construction Ltd,Completed,100.0,162,rehabilitation of kpemalebamdimsugru feeder road52km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Kuka-Natinga,21265,Rural,Dam,BAWKU ,Synagogue Construction Limited,OnGoing,50.4,183,rehabilitation of small earth dam at kukanatinga,F6232CF5-7111-4906-BE7D-24A1F437E738,RP1A.200720.011,Rehabilitation of Small Earth Dam at Kuka-Natinga,3b4a73d2e857f45f,3b4a73d2e857f45f,4.19.127,Linux,FP08,FP08,,hby,2025-04-09 08:21:38.567,"11.01611,-0.18568",2.0,0.0,2025-02-19 15:38:00,1138.0,2025-04-08 09:40:00,both
Rehabilitation of Small Earth Dam at Nayoko,21266,Rural,Dam,BINDURI,SUMMIT  DOU COMPANY LIMITED,OnGoing,77.77777778,364,rehabilitation of small earth dam at nayoko,AC9031E8-513B-4EB0-BE8F-B56A4449C278,RP1A.200720.011,Rehabilitation of Small Earth Dam at Nayoko,2a8a81366b63ed91,2a8a81366b63ed91,4.19.127,Linux,FP08,FP08,,hby,2025-06-13 17:31:17.303,"10.798855,-0.8647566666666666",2.0,0.0,2025-03-17 10:37:00,1138.0,2025-06-13 16:51:00,both
Rehabilitation of Small Earth Dam at Akara,21280,Rural,Dam,TEMPANE,Akologo Enterprise Ltd,OnGoing,66.2,426,rehabilitation of small earth dam at akara,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Uwasi,21530,Rural,Dam,BUILSA SOUTH,NDANAYINA ENTERPRISE,OnGoing,46.7,137,rehabilitation of small earth dam at uwasi,,,,,,,,,,,,,,,,,,,left_only
